2025-08-21 10:59:18 - INFO: Fetching data for product ID 177994992
2025-08-21 10:59:18 - INFO: Fetched data for product ID 34423196
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214006797
2025-08-21 10:59:18 - INFO: Fetched data for product ID 215101775
2025-08-21 10:59:18 - INFO: Fetching data for product ID 198933052
2025-08-21 10:59:18 - INFO: Fetched data for product ID 88993037
2025-08-21 10:59:18 - INFO: Fetching data for product ID 136154121
2025-08-21 10:59:18 - INFO: Fetched data for product ID 214008201
2025-08-21 10:59:18 - INFO: Fetching data for product ID 163022779
2025-08-21 10:59:18 - INFO: Fetched data for product ID 193124408
2025-08-21 10:59:18 - INFO: Fetching data for product ID 108092449
2025-08-21 10:59:18 - INFO: Fetched data for product ID 178083976
2025-08-21 10:59:18 - INFO: Fetching data for product ID 213705539
2025-08-21 10:59:18 - INFO: Fetched data for product ID 177994992
2025-08-21 10:59:18 - INFO: Fetching data for product ID 222309908
2025-08-21 10:59:18 - INFO: Fetched data for product ID 253266713
2025-08-21 10:59:18 - INFO: Fetching data for product ID 186886481
2025-08-21 10:59:18 - INFO: Fetched data for product ID 253881297
2025-08-21 10:59:18 - INFO: Fetching data for product ID 64731425
2025-08-21 10:59:18 - INFO: Fetched data for product ID 77679596
2025-08-21 10:59:18 - INFO: Fetching data for product ID 152738106
2025-08-21 10:59:18 - INFO: Fetched data for product ID 136154121
2025-08-21 10:59:18 - INFO: Fetching data for product ID 75381117
2025-08-21 10:59:18 - INFO: Fetched data for product ID 99834160
2025-08-21 10:59:18 - INFO: Fetching data for product ID 215101820
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214006797
2025-08-21 10:59:19 - INFO: Fetching data for product ID 195284121
2025-08-21 10:59:19 - INFO: Fetched data for product ID 163022779
2025-08-21 10:59:19 - INFO: Fetching data for product ID 73464882
2025-08-21 10:59:19 - INFO: Fetched data for product ID 212054372
2025-08-21 10:59:19 - INFO: Fetching data for product ID 158709609
2025-08-21 10:59:19 - INFO: Fetched data for product ID 75381117
2025-08-21 10:59:19 - INFO: Fetching data for product ID 192850997
2025-08-21 10:59:19 - INFO: Fetched data for product ID 213705539
2025-08-21 10:59:19 - INFO: Fetching data for product ID 106604822
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214006896
2025-08-21 10:59:19 - INFO: Fetching data for product ID 146479789
2025-08-21 10:59:19 - INFO: Fetched data for product ID 186886481
2025-08-21 10:59:19 - INFO: Fetching data for product ID 59173682
2025-08-21 10:59:19 - INFO: Fetched data for product ID 195284121
2025-08-21 10:59:19 - INFO: Fetching data for product ID 154530205
2025-08-21 10:59:19 - INFO: Fetched data for product ID 190608158
2025-08-21 10:59:19 - INFO: Fetching data for product ID 154529527
2025-08-21 10:59:19 - INFO: Fetched data for product ID 192850997
2025-08-21 10:59:19 - INFO: Fetching data for product ID 136350432
2025-08-21 10:59:19 - INFO: Fetched data for product ID 64731425
2025-08-21 10:59:19 - INFO: Fetching data for product ID 139460159
2025-08-21 10:59:19 - INFO: Fetched data for product ID 222322077
2025-08-21 10:59:19 - INFO: Fetching data for product ID 2758335
2025-08-21 10:59:19 - INFO: Fetched data for product ID 136350432
2025-08-21 10:59:19 - INFO: Fetching data for product ID 48115056
2025-08-21 10:59:19 - INFO: Fetched data for product ID 152738106
2025-08-21 10:59:19 - INFO: Fetching data for product ID 76600311
2025-08-21 10:59:19 - INFO: Fetched data for product ID 178319679
2025-08-21 10:59:19 - INFO: Fetching data for product ID 73378458
2025-08-21 10:59:19 - INFO: Fetched data for product ID 215101820
2025-08-21 10:59:19 - INFO: Fetching data for product ID 24780272
2025-08-21 10:59:19 - INFO: Fetched data for product ID 184589216
2025-08-21 10:59:19 - INFO: Fetching data for product ID 52462077
2025-08-21 10:59:19 - INFO: Fetched data for product ID 106604822
2025-08-21 10:59:19 - INFO: Fetching data for product ID 179156244
2025-08-21 10:59:19 - INFO: Fetched data for product ID 174163144
2025-08-21 10:59:19 - INFO: Fetching data for product ID 113047674
2025-08-21 10:59:19 - INFO: Fetched data for product ID 59173682
2025-08-21 10:59:19 - INFO: Fetching data for product ID 252356385
2025-08-21 10:59:19 - INFO: Fetched data for product ID 158409197
2025-08-21 10:59:19 - INFO: Fetching data for product ID 192683653
2025-08-21 10:59:19 - INFO: Fetched data for product ID 154529527
2025-08-21 10:59:19 - INFO: Fetching data for product ID 121248640
2025-08-21 10:59:19 - INFO: Fetched data for product ID 252356385
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214007708
2025-08-21 10:59:19 - INFO: Fetched data for product ID 193513488
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214007535
2025-08-21 10:59:19 - INFO: Fetched data for product ID 139460159
2025-08-21 10:59:19 - INFO: Fetching data for product ID 143921372
2025-08-21 10:59:19 - INFO: Fetched data for product ID 198933052
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214006547
2025-08-21 10:59:19 - INFO: Fetched data for product ID 192683653
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214007670
2025-08-21 10:59:19 - INFO: Fetched data for product ID 76600311
2025-08-21 10:59:19 - INFO: Fetching data for product ID 19775670
2025-08-21 10:59:19 - INFO: Fetched data for product ID 121248640
2025-08-21 10:59:19 - INFO: Fetching data for product ID 252069974
2025-08-21 10:59:19 - INFO: Fetched data for product ID 108092449
2025-08-21 10:59:19 - INFO: Fetching data for product ID 247718784
2025-08-21 10:59:19 - INFO: Fetched data for product ID 73378458
2025-08-21 10:59:19 - INFO: Fetching data for product ID 217577518
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214007535
2025-08-21 10:59:19 - INFO: Fetching data for product ID 64730476
2025-08-21 10:59:19 - INFO: Fetched data for product ID 113047674
2025-08-21 10:59:19 - INFO: Fetching data for product ID 13766282
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214007708
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214008464
2025-08-21 10:59:19 - INFO: Fetched data for product ID 73464882
2025-08-21 10:59:19 - INFO: Fetching data for product ID 74907796
2025-08-21 10:59:19 - INFO: Fetched data for product ID 222309908
2025-08-21 10:59:19 - INFO: Fetching data for product ID 225255048
2025-08-21 10:59:19 - INFO: Fetched data for product ID 143921372
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214008168
2025-08-21 10:59:19 - INFO: Fetched data for product ID 158709609
2025-08-21 10:59:19 - INFO: Fetching data for product ID 148696419
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214008464
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214008271
2025-08-21 10:59:19 - INFO: Fetched data for product ID 252069974
2025-08-21 10:59:19 - INFO: Fetching data for product ID 191463839
2025-08-21 10:59:19 - INFO: Fetched data for product ID 146479789
2025-08-21 10:59:19 - INFO: Fetching data for product ID 191463893
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214008271
2025-08-21 10:59:19 - INFO: Fetching data for product ID 125735532
2025-08-21 10:59:19 - INFO: Fetched data for product ID 64730476
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214007259
2025-08-21 10:59:19 - INFO: Fetched data for product ID 154530205
2025-08-21 10:59:19 - INFO: Fetching data for product ID 148626090
2025-08-21 10:59:19 - INFO: Fetched data for product ID 191463839
2025-08-21 10:59:19 - INFO: Fetching data for product ID 202719601
2025-08-21 10:59:19 - INFO: Fetched data for product ID 13766282
2025-08-21 10:59:19 - INFO: Fetching data for product ID 197070050
2025-08-21 10:59:19 - INFO: Fetched data for product ID 2758335
2025-08-21 10:59:19 - INFO: Fetching data for product ID 214007196
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214007259
2025-08-21 10:59:19 - INFO: Fetching data for product ID 221276744
2025-08-21 10:59:19 - INFO: Fetched data for product ID 214008168
2025-08-21 10:59:19 - INFO: Fetching data for product ID 117385260
2025-08-21 10:59:19 - INFO: Fetched data for product ID 48115056
2025-08-21 10:59:19 - INFO: Fetching data for product ID 195709473
2025-08-21 10:59:19 - INFO: Fetched data for product ID 148626090
2025-08-21 10:59:19 - INFO: Fetching data for product ID 252850501
2025-08-21 10:59:19 - INFO: Fetched data for product ID 225255048
2025-08-21 10:59:19 - INFO: Fetching data for product ID 208404109
2025-08-21 10:59:19 - WARNING: Product ID 202719601 not found
2025-08-21 10:59:19 - INFO: Fetched data for product ID 24780272
2025-08-21 10:59:19 - INFO: Fetching data for product ID 165984298
2025-08-21 10:59:20 - INFO: Fetched data for product ID 148696419
2025-08-21 10:59:20 - INFO: Fetching data for product ID 247933359
2025-08-21 10:59:20 - INFO: Fetched data for product ID 52462077
2025-08-21 10:59:20 - INFO: Fetching data for product ID 208784147
2025-08-21 10:59:20 - INFO: Fetched data for product ID 221276744
2025-08-21 10:59:20 - INFO: Fetching data for product ID 191463912
2025-08-21 10:59:20 - INFO: Fetched data for product ID 191463893
2025-08-21 10:59:20 - INFO: Fetching data for product ID 55885915
2025-08-21 10:59:20 - INFO: Fetched data for product ID 179156244
2025-08-21 10:59:20 - INFO: Fetching data for product ID 186254941
2025-08-21 10:59:20 - INFO: Fetched data for product ID 208784147
2025-08-21 10:59:20 - INFO: Fetched data for product ID 125735532
2025-08-21 10:59:20 - INFO: Fetching data for product ID 121709444
2025-08-21 10:59:20 - INFO: Fetching data for product ID 78509906
2025-08-21 10:59:20 - INFO: Fetched data for product ID 214006547
2025-08-21 10:59:20 - INFO: Fetching data for product ID 50735384
2025-08-21 10:59:20 - INFO: Fetched data for product ID 197070050
2025-08-21 10:59:20 - INFO: Fetching data for product ID 8078800
2025-08-21 10:59:20 - INFO: Fetched data for product ID 214007670
2025-08-21 10:59:20 - INFO: Fetching data for product ID 212318886
2025-08-21 10:59:20 - INFO: Fetched data for product ID 214007196
2025-08-21 10:59:20 - INFO: Fetching data for product ID 192714411
2025-08-21 10:59:20 - INFO: Fetched data for product ID 19775670
2025-08-21 10:59:20 - INFO: Fetching data for product ID 252177965
2025-08-21 10:59:20 - INFO: Fetched data for product ID 212318886
2025-08-21 10:59:20 - INFO: Fetching data for product ID 134939548
2025-08-21 10:59:20 - INFO: Fetched data for product ID 165984298
2025-08-21 10:59:20 - INFO: Fetching data for product ID 204050271
2025-08-21 10:59:20 - INFO: Fetched data for product ID 247718784
2025-08-21 10:59:20 - INFO: Fetching data for product ID 155354676
2025-08-21 10:59:20 - INFO: Fetched data for product ID 247933359
2025-08-21 10:59:20 - INFO: Fetching data for product ID 214007514
2025-08-21 10:59:20 - INFO: Fetched data for product ID 217577518
2025-08-21 10:59:20 - INFO: Fetching data for product ID 156300041
2025-08-21 10:59:20 - INFO: Fetched data for product ID 204050271
2025-08-21 10:59:20 - INFO: Fetching data for product ID 68737121
2025-08-21 10:59:20 - INFO: Fetched data for product ID 191463912
2025-08-21 10:59:20 - INFO: Fetching data for product ID 74844985
2025-08-21 10:59:20 - INFO: Fetched data for product ID 74907796
2025-08-21 10:59:20 - INFO: Fetching data for product ID 150509441
2025-08-21 10:59:20 - INFO: Fetched data for product ID 155354676
2025-08-21 10:59:20 - INFO: Fetching data for product ID 205996226
2025-08-21 10:59:20 - INFO: Fetched data for product ID 55885915
2025-08-21 10:59:20 - INFO: Fetching data for product ID 134657361
2025-08-21 10:59:20 - INFO: Fetched data for product ID 156300041
2025-08-21 10:59:20 - INFO: Fetched data for product ID 117385260
2025-08-21 10:59:20 - INFO: Fetching data for product ID 164796699
2025-08-21 10:59:20 - INFO: Fetching data for product ID 208916888
